steps,sleep_hours,smoker,alcohol_level,stress_level,bmi
2720,8.7,1,2,9,18.9
2778,5.2,1,0,8,34.6
5643,8.8,0,1,2,28.2
15352,7.9,1,0,3,36.1
9965,8.3,0,1,6,35.5
17599,7.5,0,2,0,34.2
15840,8.6,0,1,8,28.1
10432,9.5,0,1,3,22.7
12543,6.0,1,0,0,27.9
6627,8.4,0,0,3,19.6
2536,8.0,0,2,9,31.0
7778,6.2,1,0,3,20.2
11068,9.1,1,1,5,28.0
4097,5.9,0,0,8,18.6
4769,6.9,0,0,0,23.6
1254,4.1,1,1,8,22.3
13478,4.9,1,2,3,30.2
16290,8.5,1,0,7,33.6
15066,5.9,1,2,2,18.7
7459,5.9,0,1,1,34.9
11088,5.0,1,2,8,35.1
17333,6.4,0,0,8,24.5
11053,8.3,0,2,10,31.0
6030,8.9,1,0,7,25.8
6756,3.9,1,2,5,20.7
13361,6.9,0,1,2,28.3
8586,6.3,0,1,3,19.3
15234,7.2,1,0,7,35.5
15689,6.2,0,1,3,36.4
1609,5.9,1,0,5,34.3
13296,6.3,0,1,1,29.0
7289,7.0,1,2,4,28.9
9835,6.5,0,0,2,37.7
5501,6.3,0,0,1,22.6
7259,8.4,0,0,1,19.1
6616,8.0,1,0,5,29.0
1856,5.5,1,0,4,24.2
14307,8.3,1,0,1,24.1
3431,8.6,1,1,5,17.6
7388,4.4,0,0,1,29.7
4281,7.0,1,2,0,22.9
3730,5.2,1,2,1,21.4
7347,7.9,1,2,4,18.3
16619,4.9,1,1,10,25.0
17050,7.5,1,0,2,35.5
7488,5.0,1,2,3,24.4
9587,6.6,1,0,2,31.4
17756,9.2,0,1,3,33.0
4992,5.8,1,1,7,24.2
17060,8.8,0,2,3,34.3
2797,9.4,1,1,7,31.7
4839,8.7,0,2,9,29.0
6751,4.5,1,2,10,17.5
1630,8.4,0,1,6,18.2
14867,3.7,1,2,7,37.8
15542,5.9,0,0,10,33.5
7516,8.7,0,2,8,36.7
15218,7.6,1,0,3,36.0
14132,6.7,1,2,1,17.9
14623,5.8,0,1,1,33.7
14645,8.4,0,2,9,26.7
10749,7.8,1,0,6,33.7
2883,6.3,1,1,3,17.6
16699,8.9,0,2,3,23.4
11347,4.9,1,0,3,32.9
16321,4.5,0,0,8,33.8
17304,7.4,1,0,6,30.2
4181,9.3,0,0,9,23.7
7836,5.0,0,1,3,23.9
4272,5.0,0,1,5,37.3
1866,4.3,1,0,1,26.5
17428,8.7,1,0,10,26.7
16696,4.9,0,0,5,28.8
16839,6.5,1,2,6,25.9
16022,9.4,1,2,4,28.8
12029,3.6,1,0,2,26.4
9876,6.8,1,0,10,34.4
17855,6.6,0,0,5,36.1
10388,8.3,0,2,7,36.6
11921,5.6,1,2,0,29.1
4599,6.0,0,2,3,26.6
13694,4.5,0,0,8,32.0
14930,7.9,0,1,0,34.7
12534,8.2,1,0,1,29.0
9476,4.3,1,2,8,31.8
4363,5.9,1,1,3,32.9
1575,8.9,0,0,3,31.4
11664,3.5,0,2,6,32.8
12611,5.3,1,1,2,21.8
14134,6.8,0,1,0,27.7
17158,5.5,1,0,0,29.6
9455,5.1,0,0,0,17.6
15095,6.3,0,2,1,35.0
13176,4.6,0,0,7,30.0
5712,6.7,1,0,3,20.1
15367,7.7,1,2,0,34.2
1906,7.0,0,0,0,32.2
11181,4.1,1,1,5,33.0
16985,8.6,1,2,9,25.5
12202,4.5,1,1,3,35.0
16930,8.1,1,1,0,26.0
1954,5.7,0,0,2,29.2
10051,8.2,1,1,5,17.5
14270,4.7,1,1,2,30.7
11919,4.6,0,1,10,32.2
15969,6.5,0,0,8,29.1
8864,3.7,1,0,3,27.7
12604,4.9,1,2,10,34.1
8136,7.8,0,2,3,31.5
15826,8.5,0,2,1,23.2
3030,4.0,1,0,10,37.2
5320,8.8,0,2,10,32.0
2644,8.3,0,0,3,37.8
12935,8.7,1,1,6,37.4
4956,7.7,1,0,1,36.3
6391,7.5,0,2,7,33.0
15222,6.7,0,0,7,30.0
7123,7.4,0,2,7,21.0
3479,9.0,0,0,6,28.6
1356,4.1,1,2,7,33.2
4853,5.4,0,1,6,28.2
16549,3.9,0,0,9,35.3
10326,9.2,0,0,1,19.7
17912,6.2,1,2,5,25.3
4657,7.6,1,0,4,27.9
6975,8.5,1,0,5,26.4
3774,9.4,0,1,1,19.7
7772,4.5,1,0,3,20.6
10576,8.3,0,0,10,34.7
14738,8.8,1,1,1,27.4
7257,3.8,1,2,6,18.5
14116,8.0,1,2,7,17.8
11644,5.6,0,2,5,27.2
5960,7.4,1,0,0,20.9
16507,6.6,1,1,0,32.0
8382,5.1,1,0,3,33.8
3566,4.3,0,2,1,22.2
17365,4.2,1,1,1,29.6
16528,4.1,1,0,1,20.7
1842,7.3,0,2,2,23.7
16342,5.6,1,0,9,35.7
17105,4.8,0,0,7,28.7
15094,7.7,1,2,0,35.7
5334,7.6,1,1,6,22.1
11731,6.7,0,2,1,24.3
10150,9.1,0,1,4,27.2
11542,5.8,1,2,0,27.3
11479,8.5,0,1,0,38.0
11866,4.0,0,0,1,19.8
9738,7.9,0,0,4,35.0
12738,9.4,1,2,5,35.2
9952,8.6,1,0,3,28.8
1280,7.0,1,1,6,24.6
1599,7.3,0,0,7,28.1
17287,5.6,0,0,8,23.5
16457,7.6,1,1,6,33.9
10955,8.1,1,0,6,27.7
3968,9.5,1,1,5,36.5
14284,6.5,1,2,2,30.3
3435,3.9,1,0,5,28.0
7413,7.1,0,0,0,32.1
6607,4.2,0,0,10,27.8
1210,5.0,1,2,4,36.0
14719,5.5,1,1,8,21.3
9665,7.9,1,1,10,37.5
6376,4.6,1,0,5,34.1
9622,4.5,0,2,9,35.1
1000,3.8,0,0,5,27.4
8428,8.7,1,2,1,34.7
9832,7.7,1,0,0,23.8
6775,3.7,0,2,1,33.1
15116,3.7,0,0,10,20.4
5247,6.9,1,0,5,23.8
3343,5.2,1,1,3,26.6
9968,7.1,1,0,4,24.1
16083,6.1,0,0,2,25.4
7379,9.0,1,1,9,34.3
1792,5.2,1,0,10,22.8
17488,7.6,1,1,0,32.8
8553,3.8,1,2,7,19.0
3939,9.2,0,0,3,33.2
11465,9.4,0,1,0,33.7
6434,7.9,0,0,10,25.7
16942,6.3,1,1,0,32.3
5997,4.8,0,0,2,36.3
10352,8.4,0,0,0,33.9
10236,7.9,0,0,5,25.5
5121,4.8,1,2,6,27.4
9487,6.2,1,0,3,33.5
2854,6.3,1,2,0,23.5
11943,8.5,1,2,1,34.0
13891,7.6,0,1,10,24.2
17150,7.4,0,0,8,34.0
6538,7.4,0,2,10,19.3
5848,5.1,1,2,5,18.4
10329,5.7,1,0,6,38.0
12777,3.8,0,2,8,35.3
17871,8.2,0,2,6,35.6
1425,6.1,0,0,4,37.0
5051,6.1,1,0,3,26.5
5460,5.0,0,2,5,23.4
5341,4.8,1,0,0,20.2
8883,7.0,0,1,2,27.8
15839,4.9,1,0,8,22.0
1526,3.9,1,2,9,36.7
14869,8.1,0,0,1,17.6
11500,5.8,1,0,1,20.4
11458,5.8,1,0,0,22.6
12531,6.1,1,0,8,21.6
2961,8.4,1,1,3,22.1
13694,5.4,0,0,3,30.9
5218,8.0,0,2,0,24.2
9781,9.1,1,1,10,30.1
12506,7.5,0,0,4,35.8
11267,6.1,0,2,8,29.9
6493,8.0,0,1,7,31.7
7733,6.2,0,2,1,25.0
9100,6.0,0,0,8,20.8
1701,6.7,0,2,6,24.1
13342,5.4,1,1,6,37.3
2699,4.1,1,2,2,30.2
8795,6.0,0,1,9,23.2
12134,4.2,0,2,10,26.7
2366,6.0,1,1,4,34.6
17924,6.8,0,0,1,31.2
7412,9.1,0,0,9,29.0
1268,3.7,0,2,9,35.6
12196,7.2,0,2,5,31.3
10478,6.2,0,1,6,30.7
11885,3.6,0,2,2,21.4
13767,5.0,1,0,0,19.7
9085,4.2,1,0,10,37.3
15055,4.8,0,1,5,29.8
7292,5.1,1,1,3,26.0
10268,5.9,1,2,7,29.6
3694,6.7,0,2,0,18.8
